Daytime_evening_attendance,Previous_qualification_grade,Admission_grade,Displaced,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Curricular_units_1st_sem_credited,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_2nd_sem_credited,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Status
Daytime,122.0,127.3,Yes,No,Yes,Female,No,0,0,0,0.0,0,0,0,0.0,Dropout
Daytime,160.0,142.5,Yes,No,No,Female,No,0,6,6,14.0,0,6,6,13.666666666666666,Graduate
Daytime,122.0,124.8,Yes,No,No,Female,No,0,6,0,0.0,0,6,0,0.0,Dropout
Daytime,122.0,119.6,Yes,No,Yes,Male,No,0,6,6,13.428571428571429,0,6,5,12.4,Graduate
Evening,100.0,141.5,No,No,Yes,Male,No,0,6,5,12.333333333333334,0,6,6,13.0,Graduate
Evening,133.1,114.8,No,Yes,Yes,Female,No,0,5,5,11.857142857142858,0,5,5,11.5,Graduate
Daytime,142.0,128.4,Yes,No,Yes,Male,Yes,0,7,7,13.3,0,8,8,14.345,Graduate
Daytime,119.0,113.1,Yes,No,No,Female,No,0,5,0,0.0,0,5,0,0.0,Dropout
Daytime,137.0,129.3,No,No,Yes,Male,Yes,0,6,6,13.875,0,6,6,14.142857142857142,Graduate
Daytime,138.0,123.0,Yes,Yes,No,Male,No,0,6,5,11.4,0,6,2,13.5,Dropout
Daytime,139.0,130.6,Yes,No,Yes,Male,No,0,6,6,12.333333333333334,0,6,5,14.2,Graduate
Daytime,136.0,119.3,Yes,No,Yes,Male,Yes,0,8,7,13.214285714285714,0,8,7,13.214285714285714,Graduate
Daytime,133.0,130.2,Yes,No,Yes,Male,No,0,6,0,0.0,0,6,0,0.0,Dropout
Daytime,110.0,111.8,Yes,No,Yes,Male,Yes,0,6,6,10.571428571428571,0,6,5,11.0,Graduate
Daytime,149.0,137.1,Yes,No,Yes,Male,Yes,0,5,4,13.25,0,5,5,12.0,Graduate
Daytime,127.0,120.7,Yes,No,Yes,Male,No,0,6,5,13.2,0,6,0,0.0,Dropout
Daytime,137.0,137.4,Yes,No,Yes,Male,No,0,6,1,12.0,0,6,2,11.0,Enrolled
Daytime,135.0,127.3,Yes,No,Yes,Male,No,0,7,7,13.30625,0,8,8,14.545,Graduate
Daytime,137.0,136.3,Yes,No,Yes,Male,No,0,5,4,12.5,0,5,4,12.25,Graduate
Daytime,140.0,124.6,Yes,No,Yes,Male,No,0,7,6,11.666666666666666,0,7,6,13.5,Enrolled
Daytime,122.0,120.3,No,No,Yes,Male,Yes,0,0,0,0.0,0,0,0,0.0,Graduate
Daytime,127.0,121.8,Yes,No,Yes,Male,No,0,7,7,11.4375,0,8,8,11.425,Enrolled
Daytime,142.0,125.5,Yes,No,Yes,Male,No,0,8,7,12.857142857142858,0,8,7,12.857142857142858,Graduate
Daytime,125.0,114.9,Yes,No,Yes,Male,Yes,0,6,6,13.375,0,6,6,12.285714285714286,Graduate
Daytime,126.0,123.9,No,No,Yes,Male,No,0,7,6,13.296666666666669,0,8,7,14.114285714285714,Graduate
Daytime,151.0,157.0,Yes,Yes,Yes,Male,Yes,0,6,5,11.6,0,6,4,11.0,Enrolled
Daytime,115.0,116.4,Yes,No,Yes,Male,No,0,6,6,11.375,0,6,6,13.285714285714286,Graduate
Daytime,138.0,131.0,Yes,No,Yes,Male,No,0,5,5,12.666666666666666,0,5,4,13.0,Enrolled
Daytime,135.0,122.1,Yes,No,Yes,Male,No,0,5,5,12.0,0,5,5,12.333333333333334,Graduate
Daytime,127.0,118.8,Yes,No,Yes,Female,No,0,7,6,12.933333333333332,0,7,6,13.716666666666669,Enrolled
Daytime,150.0,150.0,No,No,Yes,Female,No,0,6,5,11.857142857142858,0,6,5,10.571428571428571,Enrolled
Daytime,125.0,130.0,Yes,No,Yes,Female,No,2,6,6,12.833333333333334,0,6,4,13.4,Graduate
Daytime,143.0,138.8,No,No,No,Female,No,0,5,3,11.333333333333334,0,5,2,13.5,Enrolled
Evening,138.0,134.5,Yes,No,Yes,Male,No,0,6,6,12.666666666666666,0,6,6,14.375,Graduate
Evening,130.0,131.4,No,No,Yes,Female,No,0,5,5,12.4,0,5,5,13.428571428571429,Graduate
Daytime,130.0,102.5,No,Yes,No,Female,No,0,7,0,0.0,0,7,1,10.0,Dropout
Daytime,133.1,128.8,Yes,No,Yes,Female,No,0,5,0,0.0,0,5,0,0.0,Dropout
